text	task_1	task_2	text_id
"@Kizer_Media @Zero_Aquila @tagesschau (1) https://t.co/oiwSZhwsPt
(2) https://t.co/l12aHaxDIy
(3) Agora ist etwas z… https://t.co/kHsKBubRsk"	NOT	NONE	hasoc_2020_de_2215
deutsche lesben free deutsches ehepaar fickt porno deutscher porno ffentlichkeit free porno muschilecken deutsch https://t.co/GRHmv0F1J9	HOF	PRFN	hasoc_2020_de_3404
"RT @johannesgrunert: Armselig, peinlich und dumm 👎
#ESC2019 #Iceland https://t.co/sWesovTO9q"	HOF	OFFN	hasoc_2020_de_1996
"@FlorianFOLI 1. Waren es 2
2. Musst du nicht, aber hat halt eh keinen Effekt
3. Ist der Sieg immernoch eher lucky als verdient"	NOT	NONE	hasoc_2020_de_3198
@joahlen Da ist nichts mehr zu retten. Hirn schon gar nicht. Wo nichts ist, kann nichts werden.	NOT	NONE	hasoc_2020_de_1803
süggest movies plz ty :&gt;	NOT	NONE	hasoc_2020_de_2391
@EinJanik @MHP2002 Ja ok du arsch	HOF	PRFN	hasoc_2020_de_1228
@KONRAD1000 @LVZ Wenn man Ihnen eine Körperverletzung antut, wird man hoffentlich genauso handeln und Täter-Opfer R… https://t.co/cq2bdfZ3ly	HOF	OFFN	hasoc_2020_de_2683
"RT @maxotte_says: ""#Merkel muss weg!"" darf bei #Kundgebug in #Wuppertal nicht gerufen werden. Willkommen in der dunklen Zeit! #Repression #…"	NOT	NONE	hasoc_2020_de_1618
@heuteshow Und linke Journalisten wollen die humanitäre Aufnahme von Flüchtlingen, halt nur nicht in ihrer Wohngege… https://t.co/qr9WNCNZtP	NOT	NONE	hasoc_2020_de_2427
@zeitonline was haben die beiden Kopalken nur im Kopf?	NOT	NONE	hasoc_2020_de_1804
@tagesschau Die Hasselfeld, Wahlkampfhelferin der Grünen. https://t.co/FLQKHv0jFb	NOT	NONE	hasoc_2020_de_1970
Gescher -  Christdemokrat möchte, dass Gänse aus dem Naturschutzgebiet Berkeltal verschwinden. Dreck.… https://t.co/b8060gV3hK	NOT	NONE	hasoc_2020_de_776
Desnudas xxx gratis, deutsche schwgerin porno! Italiani porno gratis, canal chat gratis. https://t.co/wJWFnVuhVe	HOF	PRFN	hasoc_2020_de_2755
@SatireUNfreiesD So ist es, der Islam ist keine Religion des Friedens! https://t.co/NSyjYNJ477	HOF	HATE	hasoc_2020_de_3043
@hubertus_zulu @nilzee011 @LinoTobi @dieserRoman Wie dumm kann man eigentlich sein?	NOT	NONE	hasoc_2020_de_2820
porno estar gratis unterwrfige deutsche frauen porno mutter fisten sexy mdchen in hotpants https://t.co/FvAKmqCJCu	HOF	PRFN	hasoc_2020_de_759
@LianePoost @welt Ich beziehe mich nicht nur auf die DDR. Sozialistische System waren schon immer unproduktiv und w… https://t.co/lrQeZvtXF6	NOT	NONE	hasoc_2020_de_2431
@brunipamder237 @Sonnenbebrillt3 @Altonese86 Wir halt einfach immer	NOT	NONE	hasoc_2020_de_3466
Ohne scheiss, das is doch einfach unfair	NOT	NONE	hasoc_2020_de_1268
"RT @yungatakan: niemand:

vertrau mir niemand

nichtmal merkel:

deutsche kinder von afd wählern: https://t.co/EHO9ip8u6z"	NOT	NONE	hasoc_2020_de_520
RT @Deacon__Blues: Da @TwitterDE anscheinend ein Haufen Idioten sind, die momentan auf Zuruf von afd-Bots Leute wie @RAStadler oder @Sawsan…	NOT	NONE	hasoc_2020_de_2861
Ist es nicht Extrem Dumm Zeit für Geld zu verkaufen ? Arbeitskraft/Stundenlohn/ Zeit. Ist es nicht erbärmlich Wisse… https://t.co/rymiIWWH7O	NOT	NONE	hasoc_2020_de_3475
"#NWBRB58

+++ Ausfall +++ Osnabrück Hbf (ab 13:26) -&gt; Delmenhorst (an 15:24)  am 18.05.2019  Grund: Fahrzeugstörung… https://t.co/0yqkl1fESN"	NOT	NONE	hasoc_2020_de_1920
@JoergRMayer @lichtmesz Wirst schon noch deinen Versorgungsposten bekommen. So wie jeder hartnäckige Karrierist. Ab… https://t.co/UsQERWQxXm	NOT	NONE	hasoc_2020_de_474
@Hartes_Geld #Nazis waren schon immer #Linke, halt miese #Sozialisten - wie die #Antifanten der #kriminellen #Antifa.	HOF	HATE	hasoc_2020_de_548
"RT @451_grad: #Benziner dreckiger als #Diesel?
Für @Die_Gruenen schon, aber stimmt das auch? 🤷‍
📍 Noch mehr dazu: https://t.co/NSfD2FOCqd 📍…"	NOT	NONE	hasoc_2020_de_3163
@xRxss_ Ich hab halt überall Wireless Charging Pads, wär sau dumm. 😅	NOT	NONE	hasoc_2020_de_2813
RT @Katerfrieden: Ich bin dafür dass die Grünen das Geschoß ertragen. https://t.co/E8azul8WmQ	NOT	NONE	hasoc_2020_de_1035
"RT @braindead_xy: @tagesschau Deutsche Regierung stürzt ausländische Regierung.

Und feiert das!

Ihr Deutschen (87%) kotzt mich so an! Ihr…"	HOF	HATE	hasoc_2020_de_2368
@johannesw82 @bellefired @VollzeitJonas 🤦‍♂️wie kann man nur so dumm sein 😂🤣	NOT	NONE	hasoc_2020_de_3140
*hier nach belieben auch Politik(er) einfügen.	NOT	NONE	hasoc_2020_de_2663
Schlagabtausch  im ZDF..... regierungsgesteuerte SCHEISSE mit dementsprechendem Publikum vor Ort!!!!!!!!!!	HOF	OFFN	hasoc_2020_de_1266
ich verleih nie wieder mein scheiß crusher	HOF	PRFN	hasoc_2020_de_874
RT @neomagazin: Deutsche Carpool Karaoke #DoTheyKnowItsEurope https://t.co/JENTkGq11j	NOT	NONE	hasoc_2020_de_1344
WELT: Horst Seehofer kündigt kriminellen Clans den Kampf an WELT: Horst Seehofer kündigt kriminellen Clans den Kamp… https://t.co/RT1oMHEGvq	NOT	NONE	hasoc_2020_de_1282
RT @Das_KGB: Zum kotzen https://t.co/LGsgiE4Jjb	NOT	NONE	hasoc_2020_de_2590
RT @Hihi97948034: Mero ist ein Hurensohn	HOF	PRFN	hasoc_2020_de_2658
Wenn du schon seit knapp 10 Monaten mit einem Kollegen zusammen arbeitest, nie ein Wort Deutsch mit ihm sprachst, w… https://t.co/94SZrnqotc	NOT	NONE	hasoc_2020_de_1062
@domi_twr Einfach kein assi sein der im kreisel nicht blinkt. Und auf der autobahn wäre blinken auch vorteilhaft	NOT	NONE	hasoc_2020_de_2822
hab glaube echt gerade den größten hurensohn busfahrer deutschlands	HOF	OFFN	hasoc_2020_de_1305
RT @tagesschau: EVP-Spitzenkandidat Weber will Europa einen https://t.co/ooAUUBLZTj #Europawahl2019 #Weber #Wahlarena	NOT	NONE	hasoc_2020_de_1254
Warum haben linke Politiker eigentlich kaum ein richtiges Berufsleben?	NOT	NONE	hasoc_2020_de_94
Aaaain gabriel ❤️😍	NOT	NONE	hasoc_2020_de_2946
hört sich an wie Hintergrundmusik für  Mobilfunkwerbung #escorf	NOT	NONE	hasoc_2020_de_1384
@Der_OG_Julius ist der echt mit der zusammen	NOT	NONE	hasoc_2020_de_944
RT @TopTomCH: Aufruf zum ficken!  Da Er @MichaelHaenel3 seit über 3 Monaten keinen echten Schwanz mehr im Arsch hatte wird eine geiler Top…	HOF	PRFN	hasoc_2020_de_336
Damit wir vor #Scheisse bewahrt werden: #FusionBleibt !! https://t.co/0mLIf78Gms	HOF	PRFN	hasoc_2020_de_2289
@go73729092 @Ralf_Stegner Machen doch alle privaten Medien so!	NOT	NONE	hasoc_2020_de_1916
@xmerve021 ja ist halt echt	NOT	NONE	hasoc_2020_de_923
RT @Jesus_folgen: @HaraldBecker80 Als Gegenbeispiel gibt es ein Video, in dem gezeigt wird, wie die DEUTSCHE BUNDESKANZLERIN NAMENS MERKEL…	NOT	NONE	hasoc_2020_de_260
900.000 deutsche „Flüchtlinge“ im EU-Ausland https://t.co/8RsEOvFFY0	NOT	NONE	hasoc_2020_de_1943
ALERTE Ruche4 Poids=10.2kg -&gt;https://t.co/WTpfLC1Afv  … Infos-&gt;https://t.co/nzwsT5HGPr (14:47:56) https://t.co/gjZnuXZoSy	NOT	NONE	hasoc_2020_de_154
@GG_SSBM was soll dieser scheiß man	NOT	NONE	hasoc_2020_de_3088
"RT @BB12_DE: @krippmarie @KunkelMuhme Die linken Schlägertrupps sind wieder in Deutschland unterwegs. 🙄

#unserwir https://t.co/mhkvN554er"	NOT	NONE	hasoc_2020_de_217
RT @Atomreisfleisch: @jacky_lope Und man hört diese ganzen Elektro-Dinger nicht. Ich stelle mich schon heute auf das Geheule ein, wenn Leut…	NOT	NONE	hasoc_2020_de_2137
"* rachsüchtige Frauen. Es gibt hasserfüllte Frauen,  Frauen die betrügen und lügen. 

Hört auf eure Mysogynie hinte… https://t.co/k2mvmkkVsC"	NOT	NONE	hasoc_2020_de_1965
"die arroganz der leute aus den westlichen bundesländern ist so ekelhaft und abstoßend, ich könnt kotzen 
wie kann m… https://t.co/uXdFuejOZB"	HOF	HATE	hasoc_2020_de_1886
@Pokehita97 Hey sorry das ich so overreacted habe!! (kenn das deutsche wort für overreact nicht sry😅) CAN U PLS FOR… https://t.co/nLPmQIhVCW	NOT	NONE	hasoc_2020_de_1962
RT @burger_ein: Radikale Moslems und nationalistische Türken Die verschwiegenenen Wähler der Grünen https://t.co/u7Jj38Ldc1	HOF	HATE	hasoc_2020_de_2217
@Obi_Jan_Kenobii @walkerjole Die haben sich mit der Zeit schon selbst entsorgt.	NOT	NONE	hasoc_2020_de_762
Siege &gt; CoD	NOT	NONE	hasoc_2020_de_227
RT @RolandTichy: Keiner redet vom Wetter, nur wir: Die Grünen sitzen jetzt ihrerseits in der Klimafalle: Radiale Maßnahmen sind hübsche For…	NOT	NONE	hasoc_2020_de_59
@MartinaHolst @rudolfuz Politiker kriegen bestimmt wieder Extrarechte	NOT	NONE	hasoc_2020_de_2573
Die Bigotterie von Grünen ist kaum aushaltbar. FCK NAZIS auf den Plakaten aber neben ihnen Stehen und Flyer verteil… https://t.co/D2SoJv7zU0	NOT	NONE	hasoc_2020_de_980
@STARGAMESTV69 @verankernLUL @Papaplatte @tim0cy arsch https://t.co/ezeiGmpJAb	NOT	NONE	hasoc_2020_de_792
EINFACH NUR AUS ZEITVERTREIB	NOT	NONE	hasoc_2020_de_1069
@Tlaytweet hilfe diese frau was befindet sich in ihrem kopf an der stelle, wo normale menschen ein hirn haben?	HOF	OFFN	hasoc_2020_de_2052
"RT @PeterZobel4: @ZDFheute ""Keine Zusammenarbeit mit rechten Parteien"". Also gehört Merkel einer linken Partei an? Oder was soll das heißen?"	NOT	NONE	hasoc_2020_de_3433
"Gutschein ""-50% REBELITA Fleecepulover für Frauen!"" https://t.co/EC0VX6LWYj"	NOT	NONE	hasoc_2020_de_1435
#Hofheim Hobbyhure-sucht-Taschengeld: Anna zarte St*te - Zarte, deutsche St*te  will d... https://t.co/z5s5n4K9fl https://t.co/FJqJxBuyIS	HOF	PRFN	hasoc_2020_de_2513
„Die Wähler sind halt zu dumm, sodass wir ihnen unsere Positionen nicht vermitteln konnten. Diese Verachtung für si… https://t.co/rMolA6HBKi	HOF	HATE	hasoc_2020_de_862
"benutze dein Gehirn! 
Niemand hat mich bezahlt :(
#EducaAunFifi"	NOT	NONE	hasoc_2020_de_682
RT @Ulrik_von: @spdberlin @gabischoff @RaedSalehBerlin Das neue Logo ist auch schon fertig. https://t.co/BZeIk9yBzf	NOT	NONE	hasoc_2020_de_2005
@RainerWinklerDE Lieben Heteros, jetz habter richtig Scheiße am Arsch, etzala fliegt ihr raus.	NOT	NONE	hasoc_2020_de_1763
@Piratenpartei Was soll dieses Gequatsche von Nazis? Wer gegen ILLEGALE Migration und linken Gesinnungsterror ist,… https://t.co/FRLCTDCZoE	NOT	NONE	hasoc_2020_de_3104
@nicerlucas Scheiß alki	HOF	PRFN	hasoc_2020_de_2162
@DanyVause Deutsche Kultur https://t.co/nUdQfuCLsc	NOT	NONE	hasoc_2020_de_2690
@maynstream Bin halt aber schon tip-top motivator https://t.co/AvRaWLUEMI	NOT	NONE	hasoc_2020_de_380
ich hasse meine eltern ohne spass diese dummen hurensohne ich bin fucking 14 und die heulen rum wenn ich EINE fuxki… https://t.co/ARddcXxbDn	HOF	PRFN	hasoc_2020_de_1320
scheiß bauchschmerzen	NOT	NONE	hasoc_2020_de_2707
"@DrThomasBruns @VonSchwer Wer tritt denn heute von den dt. Politikern noch zurück?
Demnach hätte Merkel schon vor J… https://t.co/rRzVlfdkMK"	NOT	NONE	hasoc_2020_de_2890
RT @ZDFheute: Wer wählte die Grünen bei der #Europawahl2019? https://t.co/bDmYsTVuTf	NOT	NONE	hasoc_2020_de_2065
@tukyabitch lass linken	NOT	NONE	hasoc_2020_de_870
"Merkel hat Deutschland abgehakt.
Es interessiert sie einfach nicht mehr.
Sie reist ein bisschen durch die Welt und… https://t.co/ofrWEtyVKP"	NOT	NONE	hasoc_2020_de_3504
Alkohol und Schwangerschaft: Noch nicht geboren – schon betrunken https://t.co/mEMT2egFpC	NOT	NONE	hasoc_2020_de_2792
"RT @____Firefox___: Der Kern der #Grünen Pädo und Nekrosex Sekte.

Was ist das doch für ein widerliches Geschmeiß 

Die Grünen müssen weg h…"	HOF	PRFN	hasoc_2020_de_95
"RT @Zar2001doz: @tagesschau Trump war im Dezember in Deutschland, ohne Merkel und Maas überhaupt bescheid zu geben.
Jetzt versetzt Pompeo d…"	NOT	NONE	hasoc_2020_de_664
"Kölner Stadt-Anzeiger: Martin Schulz wirft Merkel Untätigkeit für Europa vor – ""Skandal, dass sie am Euro https://t.co/ARMwSBbkGH"	NOT	NONE	hasoc_2020_de_1882
"RT @Glockto: Wenn ich Blumenkohl zubereite, muss ich immer vorstellen, dass ich ein Gehirn seziere.

""Und das, werte Kolleginnen und Kolleg…"	NOT	NONE	hasoc_2020_de_883
"RT @zuckerbienchen_: Bin kurz vor den 2.222 Followern!

Ein paar von euch können sich jetzt schon mal ausziehen und mir dann ihre Nudes sch…"	NOT	NONE	hasoc_2020_de_1057
„Schlimmer geht es nicht“ – Adidas-Chef Rorsted rechnet mit Bundeskanzlerin Merkel ab https://t.co/QsBE9yAeXY via @DrDavidBerger	NOT	NONE	hasoc_2020_de_3048
@untenistoben Unfassbar. Merkel muss weg!	NOT	NONE	hasoc_2020_de_3486
@ZDFheute @wulfschmiese Ach, und mit Leuten wie Maas und Merkel, die uns vorgelogen haben, der unheilvolle… https://t.co/M4pnSEFeHF	NOT	NONE	hasoc_2020_de_12
@milkiriveri Beißt Dir den Kopf ab	NOT	NONE	hasoc_2020_de_2980
RT @tabeayy: meine tante schickt das einfach in die familiengruppe und i- https://t.co/NFpw13DNHU	NOT	NONE	hasoc_2020_de_374
RT @SpiegelAnti: Warum die Europäer Vasallen der USA sind und wie von dieser Tatsache abgelenkt wird https://t.co/t02eVtMCZf	NOT	NONE	hasoc_2020_de_2188
macht mich schon wieder absolut sad dass ich nichts kann	NOT	NONE	hasoc_2020_de_2383
"Achja Deutsche und ihr Heldenmythos😒
https://t.co/JiCFjakW4W"	NOT	NONE	hasoc_2020_de_2286
@WELTnews Don alphonso? Echt jetzt? Der komische neue-Rechte, der nie Ahnung hat?	NOT	NONE	hasoc_2020_de_2306
@vanHimbeeren @tagesschau Wenn ich ihr Gesicht sehe muss ich auch brechen! 😁	NOT	NONE	hasoc_2020_de_2826
RT @AliceWo18626168: Merkel spalterische Eurorettungspolitik entpuppt sich als fiskalisches Fiasko un Täuschungskonstrukt https://t.co/FDHX…	NOT	NONE	hasoc_2020_de_210
@tagesschau Mir doch Scheißegal	NOT	NONE	hasoc_2020_de_1043
Und noch eine Luftblase: Merkel strebt Klimaneutralität bis 2050 an https://t.co/kDlqUZcdo1	NOT	NONE	hasoc_2020_de_362
@Tulpa2230 @ZDFheute @PeterToitberg @ArminWolf Die Arroganz der Linken schadet nicht nur dem politischen Diskurs so… https://t.co/5EElap5LXN	HOF	HATE	hasoc_2020_de_389
@schwartz_ht @internetbazi @KulierJarolina Ist Dein bester Freund auch so 1 Hurensohn wie der Bazi?	HOF	OFFN	hasoc_2020_de_1245
@Golzheimer Das ist das Resultat Merkel Deutschland Europa Welt Politik/Merkel kassierte Milliarden für Aufbau der… https://t.co/q2smFXJmoE	NOT	NONE	hasoc_2020_de_768
Kennst du schon „Ryan Riback - Kinder Eyes (HoshiMusikDesign)“ von HoshiMusikDesign auf #SoundCloud? #np https://t.co/sTtTrCgBFZ	NOT	NONE	hasoc_2020_de_2847
Neueste Videos :  30.05.2019 von KikiVega -&gt; Krasse Aktion. Von der Strasse direkt in den ARSCH !! https://t.co/bzbpPlIsgw	HOF	PRFN	hasoc_2020_de_171
RT @heuteshow: Einfach weiter lächeln. #AKK #Merkel https://t.co/8dTW0WHlnI	NOT	NONE	hasoc_2020_de_111
Deutsche hobby pornos, deutsche junge schlampen porno. Teens ficken hd frauen ficken sich. https://t.co/QCWxAen3tA	HOF	PRFN	hasoc_2020_de_2467
Dir würde ich jetzt gerne in deinen geilen Arsch ficken und dir das Arschloch voll spritzen.  Geile Sau… https://t.co/h0as0ch4s8	HOF	PRFN	hasoc_2020_de_3126
@realverlust Kotzen muss ich so oder so 😂	NOT	NONE	hasoc_2020_de_2546
@SchwesterFD Einfach nur ❤❤❤	NOT	NONE	hasoc_2020_de_2255
@Dieter_Grind Da brauchts nicht mal was staatlich organisiertes. Die Leute sind so im Kopf gfickt, die schaffens selbst	HOF	PRFN	hasoc_2020_de_2702
@KNA_Redaktion @bodoramelow Hmm, ab 1933 unterstützte die Kirche ja auch die Nazis! 🤷🏼‍♀️	NOT	NONE	hasoc_2020_de_2003
"@Karl_Lauterbach Du Super Spinner!
Ihr seit doch die Mietpreis Wucherer mit Eurem Styropor "" das Pack"" Gabriel.
Verlogene Scheiss Partei"	HOF	HATE	hasoc_2020_de_3465
RT @434Italo: Niemand in Europa redet vom Klimaschutz. Nur in eurer kleinen, deutsch-chauvinistischen Welt, die ihr euch eingerichtet habt,…	NOT	NONE	hasoc_2020_de_2022
@sailorvicious_ DAS DOCH FRÜHER! :&gt;	NOT	NONE	hasoc_2020_de_2332
@jusederjude kinder sind halt dumm wie scheiße schade	HOF	HATE	hasoc_2020_de_2675
RT @tagesschau: Auf 11 Quadratmetern mit einer vierköpfigen Familie: Junge Wohnkonzepte in Europa. Unsere neue Serie #Club28 zeigt Probleme…	NOT	NONE	hasoc_2020_de_20
@bernd471 @Silke1974geb @Mrchentante1 Die Linken und Grünen scheinbar doch!	NOT	NONE	hasoc_2020_de_1040
@Sudelheft Was für ein dummes widerliches Arschloch	HOF	PRFN	hasoc_2020_de_3310
Merkel hat doch fast alles erreicht!Den Rest Deutschland schafft sie auch noch!Macht alle weiter so und denkt das s… https://t.co/vjHZSOALty	HOF	OFFN	hasoc_2020_de_951
Extension: Daniel Mitchell (F) | Telford Tigers -&gt; Telford Tigers | https://t.co/nkx2RGNWVN #NIHL	NOT	NONE	hasoc_2020_de_2388
"RT @Ricarda_Lang: Konservative: Die Linken machen nur noch Identitätspolitik und sind deshalb Schuld am Rechtsruck. 

Linke: Lasst mal über…"	NOT	NONE	hasoc_2020_de_3339
RT @schautnichtweg: @LoveGuerillos @thorser62 @luciamertins @kmw2904 Ich pack’s langsam nicht mehr 🙈😅🤩 https://t.co/VtR6VnY7LL	NOT	NONE	hasoc_2020_de_2184
Merkel Doktorarbeit: Ein Fake? | MMnews https://t.co/nmHgVfK0IA	NOT	NONE	hasoc_2020_de_2579
@citylayer Ich packs eh überhaupt nicht, dass es hier schon so weit ist. Anscheinend taugt die neue Balkonlage echt was. 😂	NOT	NONE	hasoc_2020_de_491
@coffeiniker Oder der Aluhut zu fest auf dem Kopf sitzt und das restliche Hirn zerquetscht	NOT	NONE	hasoc_2020_de_2973
"@Enrico95151143 @welt Schon ""irritierend"" dass hinter Herrn Kühnert nicht nur der DIW-Präsident Fratzscher sondern… https://t.co/YKvE1icEOW"	NOT	NONE	hasoc_2020_de_440
pass that Deutsche	NOT	NONE	hasoc_2020_de_1735
"RT @_Adora_Belle_: Politiker so: ""Die Jugend ist so unpolitisch!""
#Rezo  so: *beschäftigt sich mit Politik*
Politiker so: ""Mimimi, #fakenew…"	NOT	NONE	hasoc_2020_de_1911
Zurück ins Jugendzimmer https://t.co/PRUP8CoQDH	NOT	NONE	hasoc_2020_de_2434
RT @VQuaschning: #Merkel will Klimaneutralität bis 2050. Reicht nicht für Paris. Mit aktueller Politik wirds auch nichts vor 2200. Merkel i…	NOT	NONE	hasoc_2020_de_384
Gabriel morreu	NOT	NONE	hasoc_2020_de_1644
@ThorsMetkeller Bestell dir halt früher was DansGame	NOT	NONE	hasoc_2020_de_2376
Juristen die nichts können werden Politiker vom Kaliber Maas!	NOT	NONE	hasoc_2020_de_1730
@YohBuh @ZeeLikeZorro @MOOOrizzle Scheiß Nazi!!!!!	HOF	OFFN	hasoc_2020_de_750
RT @Craftergut5: @CDU Das ist eure Politik Merkel und sie der Verbrecher Macron. https://t.co/erTdrUYp19	HOF	OFFN	hasoc_2020_de_49
KEIN WUNDER !!! Diese NAZIS wollten/wollen ÖSTERREICH PUTSCHEN !!! KEINE MACHT diesen NAZIS !!! #HCSmussWeg… https://t.co/tBdl3Nn8Io	NOT	NONE	hasoc_2020_de_1102
RT @alextv: Gibt es eigentlich Puffs für Frauen? 🤔	NOT	NONE	hasoc_2020_de_602
"Das linke Wahldesaster in Europa

Strömungsübergreifend haben linke Parteien bei der EU-Wahlen verloren. Ein nachha… https://t.co/BuBI5szpRx"	NOT	NONE	hasoc_2020_de_164
@BILD Sie meisten Grünen sind Alkoholiker.	HOF	HATE	hasoc_2020_de_2336
"RT @chil_ro: Es gibt immer dieses ""nur mal kurz"" ARSCHLOCH! https://t.co/SZGCAiHsqc"	HOF	PRFN	hasoc_2020_de_1121
Freiheizstatue: RT AchimSpiegel: Bei Euch LINKEN gäbe es gar nichts, außer Zerfall, Armut und Unterdrückung.… https://t.co/Q9C1DUmSye	NOT	NONE	hasoc_2020_de_2062
RT @Grottekbrutal: Deutsche Traumurlaub https://t.co/5xAiARXiCe	NOT	NONE	hasoc_2020_de_1226
RT @BytePirat: Es ist eine Schande! Es gibt tausende bedürftige Kinder und Familien. Warum kann man diese Lebensmittel nicht verschenken? h…	NOT	NONE	hasoc_2020_de_3467
"RT @PParzival: #Aufstehen gegen pseudolinken Grüne
Die vormalige grüne Friedenspartei hat sich zur schrillsten Kriegspartei gemausert, die…"	NOT	NONE	hasoc_2020_de_300
Der Doktor hat ein Herz. Das ist NICHT dumm! #HomeForWhovians	NOT	NONE	hasoc_2020_de_1767
@weilkp1 da stimmt einfach alles vallah	NOT	NONE	hasoc_2020_de_2501
@frauE_ausB Du leckst den ab????🙄	NOT	NONE	hasoc_2020_de_1020
@faznet Nun die USA machen doch nur was Merkel selbst fordert. https://t.co/BRS9z1Yuz5	NOT	NONE	hasoc_2020_de_632
@RandyRaudi @tagesschau Was hat das mit dem Islam zu tun? Alle Religionen gehören zum Teufel, um es mit ihrem Wort zu sagen	NOT	NONE	hasoc_2020_de_1584
Was machen eigentlich die Linken und ihre symphatische Vorzeigekandidatin , weiss man da was ?	NOT	NONE	hasoc_2020_de_1500
Was die  #erstwähler  noch erfahren werden ist, dass ein Kreux bei den Grünen nicht das Klima rettet,,weil Grüne  v… https://t.co/rggHOvByzO	NOT	NONE	hasoc_2020_de_1631
Hitler macht kein Deutschrap 6:1 hitler	NOT	NONE	hasoc_2020_de_137
@lukasinho01 Ist irgendwie blöde, AFD ist scheiße aber auch die scheinheilige Linke und CO. Wenn man sich mal richt… https://t.co/RZRn2hYYC7	HOF	OFFN	hasoc_2020_de_757
RT @mozart2018: #EUWahl Stoppt endlich Merkels jahrelange #Massen-und #Verbrecherinvasion sie zerstört Deutschland   wählt #AFD https://t.c…	HOF	OFFN	hasoc_2020_de_120
"Wussten Sie, dass das Wort “Mülldeponie” eigentlich schon zu den veralteten Wörtern in Deutschland zählen müsste?
W… https://t.co/dtQBDL6B9C"	NOT	NONE	hasoc_2020_de_1696
@AljaseAs Puh. Was für kollossale Scheisse einfach. (Kann das nicht faven. ☹️)	HOF	PRFN	hasoc_2020_de_139
Die deutschen Politiker sind den Islamisten ausgeliefert, Punkt	NOT	NONE	hasoc_2020_de_921
Ein Rapper, der in seinen Texten hauptsächlich misogyne scheiße von sich gibt und sich als misogynes Arschloch insz… https://t.co/EyqH4V6yKK	HOF	PRFN	hasoc_2020_de_852
deutsche xxxtentacion https://t.co/BNE5k3hVw3	NOT	NONE	hasoc_2020_de_408
RT @ulrichham: @Karl_Lauterbach Wir hatten schon mal rot grün .Abgezockt habt ihr uns .Belogen und betrogen .H4 , Altersarmut ,Leiharbeit,…	HOF	HATE	hasoc_2020_de_2045
RT @_TheTrveVarg_: Deutschland wird in der Bedeutungslosigkeit verschwinden. Eine Schande, wenn man bedenkt, was Deutsche der Welt einst hi…	NOT	NONE	hasoc_2020_de_1457
Wie viele dumme Menschen es doch gibt... Und sie merken noch nicht mal, wie dämlich sie sind. Sie denken total besc… https://t.co/evnrJebcdu	HOF	HATE	hasoc_2020_de_2883
RT @SonjadelaRosa7: @Eddie_1412 @DarkCat90 @zeitonline Verdammt, die Grünen kommen nicht ins Himmelsreich, weil sie Vielflieger sind?! 🤣	NOT	NONE	hasoc_2020_de_1662
RT @tagesschau: Stiftung Warentest: Tropenholz in Grillkohle https://t.co/iWgoLmpTu4 #Grillen #Grillkohle	NOT	NONE	hasoc_2020_de_2105
@steak_staub6760 Hört sich nach aua an	NOT	NONE	hasoc_2020_de_483
RT @depositodetiras: por charles schulz https://t.co/KZHHK9XMhF	NOT	NONE	hasoc_2020_de_2887
@FrauWeh Wart ab, die Bogenschützen dezimieren die Prinzen und dann stimmt es wieder ;-)	NOT	NONE	hasoc_2020_de_58
